file_name,caption
1000092795.jpg,Two men in green shirts are standing in a yard.
10002456.jpg,Workers look down from up above on a piece of equipment.
1000268201.jpg,A little girl in a pink dress going into a wooden cabin.
1000344755.jpg,A man in a blue shirt is standing on a ladder cleaning a window.
1000366164.jpg,Two men are cooking a meal.
1000523639.jpg,A man in green holds a guitar while the other man observes his shirt.
1000919630.jpg,A man is sitting on a chair holding a large stuffed animal.
10010052.jpg,"A young adult wearing rollerblades, holding a cellular phone to her ear."
1001465944.jpg,A young woman walks past two young people dressed in hip black outfits.
1001545525.jpg,Two men in Germany jumping over a rail at the same time without shirts.
1001573224.jpg,A ballet class of five girls jumping in sequence.
1001633352.jpg,Four men with excited faces are jumping down from the top of stairs.
1001773457.jpg,A black dog and a tri-colored dog playing with each other on the road.
1001896054.jpg,A man driving a John Deere tractor on a main road in the country.
100197432.jpg,Some women are standing in front of a bus with buildings behind it.
100207720.jpg,A lady in a black top with glasses is sprinkling powdered sugar on a bundt cake.
1002674143.jpg,A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it.
1003163366.jpg,A shirtless man lies on a park bench with his dog.
1003420127.jpg,"A group of adults, inside a home, sitting on chairs arranged in a circle, playing a type of musical instruments."
1003428081.jpg,"Two women, both wearing glasses, are playing clarinets and an elderly woman is playing a stringed instrument."
100444898.jpg,A man stands on wooden supports and surveys damage.
1005216151.jpg,A man in a white t-shirt looks toward the camera surrounded by a crowd near a metro station.
100577935.jpg,A man with a goatee in a black shirt and white latex gloves is using a tattoo gun to place a tattoo on someone's back.
1006452823.jpg,Two children sit on a small seesaw in the sand.
100652400.jpg,A construction worker is standing in the street and holding a red flag.
1007129816.jpg,A man with glasses is wearing a beer can crocheted hat.
100716317.jpg,A person with long gray hair has a beret with beige and white wearing a blue raincoat is painting a marketplace scenery surrounded by other artists and paintings.
1007205537.jpg,A man in bright pants is pushing a cart.
1007320043.jpg,A small child grips onto the red ropes at the playground.
100759042.jpg,A young man on a train holds an origami crane.
10082347.jpg,Young blond man in a blue and yellow jacket smiling while standing in front of a net.
10082348.jpg,A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug.
100845130.jpg,Five people walking with a multicolored sky in the background.
10090841.jpg,A man with black hair sits in a restaurant with a glass of beer.
1009434119.jpg,A Boston terrier is running in the grass.
1009692167.jpg,A policeman is standing with a German Shepherd dog.
101001624.jpg,A person riding a bike on a snowy road.
1010031975.jpg,"Five men, uniformly dressed in white shirts, tie and black slacks converse at the back of an open van."
1010087179.jpg,A man with a backwards hat works on machinery.
1010087623.jpg,A black woman and a white man working in a factory setting packing jars with candles into boxes.
10101477.jpg,A man in a white and blue kimono is using a broom to sweep pavement.
1010470346.jpg,Two men in florescent vests are standing next to parked cars in front of a small building while one of them converses with a driver and a woman on a bike is seen riding by
1010673430.jpg,Two young children eating a snack and playing in the grass.
101093029.jpg,A person in tan pants is inside a silver mobile object while people watch.
101093045.jpg,"A man in black approaches a strange silver object containing a person, while many onlookers observe from behind a roped off barrier."
1011572216.jpg,Bride and groom walking side by side out of focus on pathway next to brick building.
1012150929.jpg,A young boy plays with a GameCube kiosk at McDonald's.
1012212859.jpg,A white dog shakes on the edge of a beach with an orange ball.
1012328893.jpg,A group of people picnicking at picnic tables in front of a playground.
101262930.jpg,An Asian couple sitting on the bench.
1013536888.jpg,Two older women sit at a table with two coolers in front of them.
101362133.jpg,A young female student performing a downward kick to break a board held by her Karate instructor.
101362650.jpg,Two people are demonstrating martial arts to a crowd and jumping over three youngsters who are crouched on the mat.
1014609273.jpg,People on two balconies and a man climbing up a pipe towards the lower balcony getting liquid poured on him.
101471792.jpg,A man wearing a red coat is outside with his hand over his head to block out the sun.
1014785440.jpg,Men walking down a street with children.
1015118661.jpg,Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him.
1015584366.jpg,A mottled black and gray dog in a blue collar jumping over a fallen tree.
101559400.jpg,A man in a suit runs across an intersection while a large group of people assembles.
1015712668.jpg,A man in red on a bicycle rides past a glass structure.
10160966.jpg,A young man in sunglasses holds a blue cup next to a grill with sausages.
101654506.jpg,A white and brown dog is running through a snow covered field.
1016626169.jpg,A crowd of people waiting to cross a street.
101669240.jpg,A man skis past another man displaying paintings in the snow.
1016887272.jpg,Several climbers in a row are climbing the rock while the man in red watches and holds the line.
1017675163.jpg,A woman wearing an orange leotard doing gymnastics in front of an audience.
1018057225.jpg,A boy in a black t-shirt and blue jeans is pushing a toy three wheeler around a small pool.
1018148011.jpg,A group of people stand in the back of a truck filled with cotton.
101859883.jpg,A woman with a red jacket and headscarf looks out over a scenic view of a bay through a set of pay binoculars on a viewing deck.
10188041.jpg,A man in a black coat walks past a red spaceship with a parking ticket stuck to its window.
1019077836.jpg,A brown dog running on a lawn near a garden hose
101958970.jpg,A man sitting with his daughter in his daughter's pink car in a grocery store.
1019604187.jpg,A white dog is ready to catch a yellow ball flying through the air.
102030371.jpg,A boy in a green sweater is sitting at a table.
1020651753.jpg,A white dog is trying to catch a ball in midair over a grassy field.
1021293940.jpg,Two men are hiking in a forest where snow is partially covering the ground.
1021332107.jpg,"A middle-aged man with a white beard and glasses holds up a small, wooden handmade cabinet."
1021439420.jpg,A elderly father and his grown son are preparing for a camping trip in the wild.
1021442086.jpg,"A bearded man wearing glasses, a red shirt, and a hat is reading a map while sitting in a car."
1022454332.jpg,A young boy waves his hand at the duck in the water surrounded by a green park.
1022454428.jpg,A couple sit on the grass with a baby and stroller.
102268204.jpg,Police questioning the driver of a black wagon at nighttime.
1022975728.jpg,A black lab with tags frolicks in the water.
